motif_note,count
Chloroplast and mitochondrion,17
Thylakoid,46
Microbody targeting signal,4
Peroxisomal targeting signal PTS1,1
Peroxisome,1
Peroxisomal targeting signal,1
Prevents secretion from ER,22
Nuclear export sequence (NES),2
Nuclear export signal 1,1
Nuclear export signal 2,1
Nuclear export signal,1
Chloroplast,351
Mitochondrion,136
Nuclear localization signal,165
Nuclear localization signal 1,70
Nuclear localization signal 2,70
Nuclear localization signal 3,22
Nuclear localization sequence (NLS),2
Nuclear localization signal 4,6
Bipartite nuclear localization signal,32
Nuclear localization signal (NLS),4
Nuclear localization signal 5,1
SIGNAL,333
