motif_note,count
Chloroplast and mitochondrion,17
Thylakoid,46
Microbody targeting signal,24
Peroxisomal targeting signal PTS1,1
Peroxisome,12
Peroxisomal targeting signal,3
Prevents secretion from ER,143
Nuclear export sequence (NES),2
Nuclear export signal 1,21
Nuclear export signal 2,21
Nuclear export signal,98
Chloroplast,351
Mitochondrion,793
Nuclear localization signal,494
Nuclear localization signal 1,83
Nuclear localization signal 2,83
Nuclear localization signal 3,24
Nuclear localization sequence (NLS),3
Nuclear localization signal 4,8
Bipartite nuclear localization signal,73
Nuclear localization signal (NLS),19
Nuclear localization signal 5,3
SIGNAL,3226
Peroxisome localization signal,2
Microbody targeting signal; atypical,8
Endoplasmic reticulum retention motif,1
Non-canonical ER retention motif,2
Nuclear export signal 3,8
Nuclear export signal; masked by interaction with SEM1,3
Nuclear export signal (NES),4
Nuclear localization signal (NLS2),3
Nuclear localization signal (NLS) 1,8
Nuclear localization signal (NLS) 2,8
Nuclear import signal,3
Nuclear localization signal (NLS1),1
Nuclear localization signal NLS1,3
Nuclear localization signal NLS2,3
Nuclear localization signal 1 (NLS 1),2
Nuclear localization signal 2 (NLS 2),2
Nuclear localization signal (NLS) 3,1
Nuclear and nucleolar localization signal,2
C-terminal peroxisome targeting signal (PTS1),4
SKL peroxisome targeting motif,3
Peroxisome targeting signal (PTS1),1
Peroxisomal target signal 1 (PTS1),2
PTS1-type peroxisomal targeting signal,2
Nuclear export sequence (NES) 1,1
Nuclear export sequence (NES) 2,1
