motif_note,count
C-terminal peroxisome targeting signal (PTS1),4
SKL peroxisome targeting motif,3
Peroxisome,2
Microbody targeting signal,3
Peroxisome targeting signal (PTS1),1
Peroxisomal target signal 1 (PTS1),2
PTS1-type peroxisomal targeting signal,2
Prevents secretion from ER,13
Nuclear export signal,10
Nuclear export sequence (NES) 1,1
Nuclear export sequence (NES) 2,1
Mitochondrion,143
Nuclear localization signal,23
Bipartite nuclear localization signal,10
Nuclear localization signal 1,1
Nuclear localization signal 2,1
Nuclear localization sequence (NLS),1
SIGNAL,162
