entry,type,group,partition
A8J637,chloroplast,5,0
D0TZF0,chloroplast,10,0
Q6AU80,chloroplast,10,0
F4IW47,chloroplast,12,0
Q8RWV0,chloroplast,12,0
O20250,chloroplast,12,0
O65220,chloroplast,25,0
P34791,chloroplast,25,0
O65271,chloroplast,26,0
O82802,chloroplast,30,0
Q75NZ0,chloroplast,30,0
P04778,chloroplast,39,0
Q8VZ87,chloroplast,39,0
P0CJ48,chloroplast,39,0
P12333,chloroplast,39,0
Q9S7J7,chloroplast,39,0
Q9SHR7,chloroplast,39,0
Q9XF87,chloroplast,39,0
P27489,chloroplast,39,0
Q9SYW8,chloroplast,39,0
Q9SDM1,chloroplast,39,0
Q9SY97,chloroplast,39,0
Q9C639,chloroplast,39,0
Q8LCQ4,chloroplast,39,0
Q9XF88,chloroplast,39,0
P09856,chloroplast,43,0
P11043,chloroplast,63,0
P12301,chloroplast,68,0
Q93WL3,chloroplast,68,0
P12302,chloroplast,69,0
P16059,chloroplast,69,0
P18212,chloroplast,69,0
P85189,chloroplast,69,0
P12353,chloroplast,71,0
P32869,chloroplast,71,0
P36213,chloroplast,71,0
P82278,chloroplast,109,0
Q94B60,chloroplast,121,0
P34047,chloroplast,130,0
P34802,chloroplast,132,0
P46312,chloroplast,140,0
P48627,chloroplast,140,0
P48629,chloroplast,140,0
P54150,chloroplast,149,0
P80471,chloroplast,156,0
Q94FZ9,chloroplast,156,0
Q9ZP40,chloroplast,156,0
P82137,chloroplast,159,0
P82191,chloroplast,165,0
P82412,chloroplast,179,0
P92935,chloroplast,182,0
Q39002,chloroplast,182,0
P93431,chloroplast,186,0
Q3C251,chloroplast,211,0
Q9ZUR7,chloroplast,211,0
Q42529,chloroplast,220,0
Q43316,chloroplast,230,0
Q8GW78,chloroplast,242,0
Q8RUF8,chloroplast,254,0
Q8VZ10,chloroplast,259,0
Q9FYB5,chloroplast,274,0
Q96255,chloroplast,279,0
Q9SHP0,chloroplast,279,0
Q9C8L2,chloroplast,283,0
Q9FNB0,chloroplast,289,0
Q9LFG2,chloroplast,298,0
Q9LWB5,chloroplast,307,0
Q9SCL7,chloroplast,317,0
Q9SZX3,chloroplast,331,0
Q9ZST9,chloroplast,341,0
A0A0S4IJL0,chloroplast,0,1
P69249,chloroplast,0,1
Q43832,chloroplast,0,1
P10798,chloroplast,0,1
P10796,chloroplast,0,1
P10795,chloroplast,0,1
P07689,chloroplast,0,1
Q0INY7,chloroplast,0,1
P05348,chloroplast,0,1
P08475,chloroplast,0,1
P00873,chloroplast,0,1
P07591,chloroplast,0,1
B8B0E2,chloroplast,8,1
Q40983,chloroplast,8,1
O04121,chloroplast,15,1
P30956,chloroplast,27,1
P00299,chloroplast,33,1
P11970,chloroplast,33,1
Q0DFC9,chloroplast,33,1
P26956,chloroplast,33,1
P07505,chloroplast,42,1
P93407,chloroplast,42,1
P82403,chloroplast,44,1
P08980,chloroplast,51,1
Q69S39,chloroplast,51,1
P93735,chloroplast,66,1
P12355,chloroplast,72,1
P13192,chloroplast,72,1
P16096,chloroplast,80,1
Q9SJU4,chloroplast,80,1
Q40677,chloroplast,80,1
P19682,chloroplast,84,1
P19683,chloroplast,84,1
Q9ZUU4,chloroplast,84,1
P19684,chloroplast,84,1
P21218,chloroplast,91,1
Q01289,chloroplast,91,1
P23326,chloroplast,99,1
P82244,chloroplast,99,1
P82024,chloroplast,99,1
P33207,chloroplast,129,1
Q8LBS4,chloroplast,133,1
P47910,chloroplast,141,1
P82411,chloroplast,141,1
P47923,chloroplast,142,1
P80470,chloroplast,155,1
P82180,chloroplast,163,1
P82249,chloroplast,174,1
Q01401,chloroplast,190,1
Q41058,chloroplast,190,1
Q08047,chloroplast,190,1
Q06801,chloroplast,194,1
Q39473,chloroplast,208,1
Q41635,chloroplast,208,1
Q41008,chloroplast,215,1
Q6ER94,chloroplast,236,1
Q93WI0,chloroplast,241,1
Q8L9X2,chloroplast,248,1
Q8VYV7,chloroplast,258,1
Q949X7,chloroplast,270,1
Q94A94,chloroplast,270,1
Q94A68,chloroplast,271,1
Q96529,chloroplast,280,1
Q9FN50,chloroplast,288,1
Q9LIR4,chloroplast,299,1
Q9LVI9,chloroplast,306,1
Q9SHU7,chloroplast,321,1
Q9SYI0,chloroplast,329,1
Q9ZUU2,chloroplast,344,1
A2YQD9,chloroplast,2,2
Q0J8M2,chloroplast,2,2
P00228,chloroplast,2,2
O80429,chloroplast,2,2
P27787,chloroplast,2,2
P09911,chloroplast,2,2
P00221,chloroplast,2,2
Q9ZQG8,chloroplast,2,2
P07839,chloroplast,2,2
P23400,chloroplast,2,2
A6Q0K5,chloroplast,2,2
P82195,chloroplast,2,2
B3EWI4,chloroplast,3,2
Q42512,chloroplast,3,2
Q42496,chloroplast,3,2
A8J785,chloroplast,6,2
P31853,chloroplast,6,2
Q9LLC6,chloroplast,6,2
B9DHD3,chloroplast,9,2
P0DI07,chloroplast,9,2
O04616,chloroplast,16,2
Q8LCA1,chloroplast,16,2
P49728,chloroplast,16,2
O04921,chloroplast,17,2
O24303,chloroplast,22,2
Q8LPR9,chloroplast,22,2
O80574,chloroplast,28,2
P82248,chloroplast,46,2
P08926,chloroplast,49,2
P08927,chloroplast,49,2
P21240,chloroplast,49,2
Q9LJE4,chloroplast,49,2
P12629,chloroplast,73,2
P16127,chloroplast,81,2
Q5XF33,chloroplast,81,2
P23321,chloroplast,98,2
P24493,chloroplast,101,2
P24846,chloroplast,103,2
P24847,chloroplast,103,2
P26259,chloroplast,103,2
P25269,chloroplast,106,2
P27684,chloroplast,115,2
P30155,chloroplast,115,2
Q94AU9,chloroplast,115,2
P32068,chloroplast,127,2
P38365,chloroplast,135,2
P41348,chloroplast,137,2
P42738,chloroplast,138,2
P55826,chloroplast,151,2
Q9LRI8,chloroplast,151,2
P80030,chloroplast,154,2
P82193,chloroplast,162,2
P82231,chloroplast,170,2
Q38933,chloroplast,206,2
Q43117,chloroplast,228,2
Q43157,chloroplast,229,2
Q9ZTP5,chloroplast,229,2
Q6ZY51,chloroplast,239,2
Q8H0U5,chloroplast,245,2
Q8S9L5,chloroplast,257,2
Q93V66,chloroplast,264,2
Q96242,chloroplast,278,2
Q9AWA5,chloroplast,281,2
Q9SAC6,chloroplast,281,2
Q9FIJ4,chloroplast,286,2
Q9LTX3,chloroplast,305,2
Q9S7D8,chloroplast,312,2
Q9ST69,chloroplast,326,2
Q9ZST8,chloroplast,340,2
A8J353,chloroplast,4,3
P82413,chloroplast,4,3
F4I1G5,chloroplast,11,3
Q94AL8,chloroplast,11,3
O23193,chloroplast,20,3
O49937,chloroplast,23,3
P82277,chloroplast,23,3
Q9S726,chloroplast,23,3
O80934,chloroplast,29,3
P02398,chloroplast,36,3
P24929,chloroplast,36,3
Q9LER7,chloroplast,36,3
P02902,chloroplast,37,3
P08817,chloroplast,37,3
P07854,chloroplast,37,3
P82130,chloroplast,37,3
P05435,chloroplast,41,3
P29790,chloroplast,41,3
P12113,chloroplast,41,3
Q42687,chloroplast,47,3
P09842,chloroplast,53,3
P27736,chloroplast,53,3
Q0DEV5,chloroplast,53,3
Q42968,chloroplast,53,3
Q43092,chloroplast,53,3
Q0DEC8,chloroplast,53,3
Q43093,chloroplast,53,3
Q43847,chloroplast,53,3
P11402,chloroplast,65,3
Q02758,chloroplast,65,3
Q9SSS9,chloroplast,65,3
P31164,chloroplast,74,3
P14655,chloroplast,76,3
P19866,chloroplast,87,3
Q9SAJ6,chloroplast,87,3
P19975,chloroplast,89,3
P19976,chloroplast,89,3
P29036,chloroplast,89,3
P29390,chloroplast,89,3
P22418,chloroplast,96,3
P25851,chloroplast,96,3
P22798,chloroplast,97,3
P25873,chloroplast,97,3
P82163,chloroplast,105,3
P27683,chloroplast,114,3
Q02764,chloroplast,114,3
P82245,chloroplast,123,3
P69834,chloroplast,153,3
P82162,chloroplast,161,3
P82194,chloroplast,168,3
P92981,chloroplast,183,3
Q01292,chloroplast,189,3
Q05758,chloroplast,189,3
Q1EBV7,chloroplast,202,3
Q42843,chloroplast,224,3
Q6STH5,chloroplast,238,3
Q8GYC7,chloroplast,244,3
Q8H0W0,chloroplast,246,3
Q8L743,chloroplast,247,3
Q9FY99,chloroplast,247,3
Q8LEE8,chloroplast,252,3
Q8W593,chloroplast,263,3
Q94F00,chloroplast,276,3
Q9FGS4,chloroplast,285,3
Q9FVQ4,chloroplast,291,3
Q9LMR3,chloroplast,303,3
Q9S762,chloroplast,311,3
Q9SK50,chloroplast,324,3
Q9ZSK1,chloroplast,338,3
A0A1C9J6A7,chloroplast,1,4
I4DST8,chloroplast,13,4
I4DST9,chloroplast,13,4
O22832,chloroplast,19,4
P22243,chloroplast,19,4
P32063,chloroplast,19,4
O23404,chloroplast,21,4
Q39734,chloroplast,21,4
Q39735,chloroplast,21,4
P11155,chloroplast,21,4
O50039,chloroplast,24,4
P00455,chloroplast,34,4
Q9FKW6,chloroplast,34,4
Q8W493,chloroplast,34,4
P41345,chloroplast,34,4
P53991,chloroplast,34,4
P04045,chloroplast,38,4
Q949Q5,chloroplast,40,4
P36886,chloroplast,40,4
P09559,chloroplast,52,4
P0DKC3,chloroplast,58,4
P0DKC4,chloroplast,58,4
P13194,chloroplast,75,4
P15719,chloroplast,77,4
P21528,chloroplast,77,4
P52426,chloroplast,77,4
P16016,chloroplast,78,4
P17067,chloroplast,78,4
P27140,chloroplast,78,4
P19954,chloroplast,88,4
Q852S5,chloroplast,88,4
P21727,chloroplast,94,4
Q9ZSR7,chloroplast,94,4
Q9LF61,chloroplast,94,4
Q8RXN3,chloroplast,94,4
P24613,chloroplast,102,4
Q9S834,chloroplast,102,4
P25306,chloroplast,107,4
P29344,chloroplast,119,4
Q93VC7,chloroplast,119,4
P82190,chloroplast,122,4
P46225,chloroplast,139,4
Q9MV14,chloroplast,139,4
P49235,chloroplast,145,4
Q9ZP27,chloroplast,145,4
Q38786,chloroplast,145,4
Q1XH05,chloroplast,145,4
Q9FYS3,chloroplast,145,4
Q1XIR9,chloroplast,145,4
P55217,chloroplast,150,4
P82139,chloroplast,160,4
P82192,chloroplast,166,4
Q42553,chloroplast,181,4
P93115,chloroplast,184,4
Q08891,chloroplast,196,4
Q3ED65,chloroplast,212,4
Q941D3,chloroplast,212,4
Q42545,chloroplast,221,4
Q6NLC1,chloroplast,237,4
Q8GWS0,chloroplast,243,4
Q8W485,chloroplast,261,4
Q9SXJ6,chloroplast,275,4
Q9FGP9,chloroplast,284,4
Q9FNM5,chloroplast,290,4
Q9LE95,chloroplast,295,4
Q9LIR6,chloroplast,300,4
Q9M9Y8,chloroplast,308,4
Q9SI75,chloroplast,322,4
Q9XI19,chloroplast,334,4
Q42592,dual,4,0
Q94K73,dual,9,0
Q9LTS6,dual,14,0
Q9S7E4,dual,16,0
F4JV80,dual,0,1
Q66GI4,dual,5,1
Q8RXE9,dual,7,1
Q9FEA2,dual,10,1
O23247,dual,1,2
Q8L785,dual,6,2
Q9FV50,dual,11,2
O49203,dual,2,3
Q94AG6,dual,8,3
Q9LF68,dual,12,3
P92947,dual,3,4
Q9LJL3,dual,13,4
Q9M8M7,dual,15,4
D3Z6P0,ER,1,0
Q13087,ER,1,0
Q9XI01,ER,1,0
P80284,ER,1,0
Q8N807,ER,1,0
Q9FF55,ER,1,0
Q5XI02,ER,1,0
Q9DAN1,ER,1,0
P55059,ER,1,0
Q4VIT4,ER,1,0
P30101,ER,1,0
P27773,ER,1,0
P11598,ER,1,0
Q8NBS9,ER,1,0
Q91W90,ER,1,0
Q9VYV3,ER,1,0
Q9V438,ER,1,0
O54998,ER,11,0
P59024,ER,11,0
Q9NWM8,ER,11,0
O60046,ER,11,0
P25303,ER,19,0
P30040,ER,25,0
P81623,ER,25,0
P57759,ER,25,0
Q08199,ER,41,0
Q15738,ER,47,0
Q9R1J0,ER,47,0
Q8NBJ7,ER,75,0
Q99158,ER,107,0
A0A0D1CD96,ER,0,1
P16474,ER,0,1
Q90593,ER,0,1
Q16956,ER,0,1
P29844,ER,0,1
Q6Z7B0,ER,0,1
Q39043,ER,0,1
Q9FSY7,ER,0,1
Q9LKR3,ER,0,1
P20163,ER,0,1
Q8H1B3,ER,0,1
Q6Z058,ER,0,1
F1NPQ2,ER,2,1
Q9UNW1,ER,2,1
O35217,ER,2,1
Q9Z2L6,ER,2,1
Q99068,ER,2,1
O08795,ER,9,1
P14314,ER,9,1
P25365,ER,20,1
Q8IWF2,ER,83,1
Q8IXB1,ER,84,1
Q9DC23,ER,84,1
Q9C525,ER,112,1
Q9C8Y9,ER,112,1
Q9SR37,ER,112,1
Q9SE50,ER,112,1
Q9FGR9,ER,122,1
Q9STL4,ER,122,1
H9D1R1,ER,4,2
O95881,ER,4,2
Q9CQU0,ER,4,2
Q8TD06,ER,4,2
Q9D8I1,ER,4,2
Q8WU39,ER,4,2
O04151,ER,6,2
Q38858,ER,6,2
Q9SLY8,ER,6,2
O04153,ER,6,2
P28491,ER,6,2
P52193,ER,6,2
P27798,ER,6,2
Q8K3H7,ER,6,2
Q96L12,ER,6,2
O95302,ER,13,2
Q9Z247,ER,13,2
Q61576,ER,13,2
Q96AY3,ER,13,2
P30533,ER,27,2
P55302,ER,27,2
P35176,ER,28,2
Q9HCN8,ER,37,2
Q8BPG6,ER,37,2
Q9ESP1,ER,37,2
Q2HXL6,ER,49,2
Q9BZQ6,ER,49,2
Q99316,ER,109,2
Q9QXT0,ER,116,2
I6L9G5,ER,5,3
Q8BH97,ER,5,3
Q96D15,ER,5,3
Q14257,ER,5,3
Q62703,ER,5,3
Q8BP92,ER,5,3
P36016,ER,29,3
Q9BS26,ER,35,3
Q9D1Q6,ER,35,3
Q32P28,ER,50,3
Q3V1T4,ER,50,3
Q9R1J8,ER,50,3
Q6JHU8,ER,50,3
Q8IVL5,ER,50,3
Q8CG71,ER,50,3
Q4KLM6,ER,50,3
Q8IVL6,ER,50,3
Q8CG70,ER,50,3
Q5NDL2,ER,57,3
Q8BYW9,ER,57,3
Q9VQB7,ER,57,3
Q5T4B2,ER,58,3
Q8NBJ5,ER,58,3
Q8K297,ER,58,3
Q8IYK4,ER,58,3
Q8BHT6,ER,73,3
Q96DN0,ER,104,3
Q9D8U3,ER,104,3
Q99220,ER,108,3
G5E897,ER,3,4
Q7Z4H8,ER,3,4
Q9JHP7,ER,3,4
Q6UW63,ER,3,4
